batch_id,run_id,algo,N,N_bits,M,rep,success,time_sec,factors,status,seed,hw_backend,hw_qubits,quantum_seconds,job_id
4,1,classical,2052962203,31,0,1,1,0.0027878284454345703,"[44263, 46381]",OK,,,,0.0,
4,2,classical,2052962203,31,0,2,1,0.0020105838775634766,"[44263, 46381]",OK,,,,0.0,
4,3,classical,2052962203,31,0,3,1,0.0027103424072265625,"[44263, 46381]",OK,,,,0.0,
4,4,classical,2052962203,31,0,4,1,0.0019991397857666016,"[44263, 46381]",OK,,,,0.0,
4,5,classical,2052962203,31,0,5,1,0.001999378204345703,"[44263, 46381]",OK,,,,0.0,
4,6,classical,2052962203,31,0,6,1,0.0020003318786621094,"[44263, 46381]",OK,,,,0.0,
4,7,classical,2052962203,31,0,7,1,0.0021257400512695312,"[44263, 46381]",OK,,,,0.0,
4,8,classical,2052962203,31,0,8,1,0.000997781753540039,"[44263, 46381]",OK,,,,0.0,
4,9,classical,2052962203,31,0,9,1,0.0019998550415039062,"[44263, 46381]",OK,,,,0.0,
4,10,classical,2052962203,31,0,10,1,0.003931522369384766,"[44263, 46381]",OK,,,,0.0,
4,11,classical,236588153,28,0,1,1,0.0,"[11777, 20089]",OK,,,,0.0,
4,12,classical,236588153,28,0,2,1,0.0009946823120117188,"[11777, 20089]",OK,,,,0.0,
4,13,classical,236588153,28,0,3,1,0.0,"[11777, 20089]",OK,,,,0.0,
4,14,classical,236588153,28,0,4,1,0.0,"[11777, 20089]",OK,,,,0.0,
4,15,classical,236588153,28,0,5,1,0.0010013580322265625,"[11777, 20089]",OK,,,,0.0,
4,16,classical,236588153,28,0,6,1,0.0,"[11777, 20089]",OK,,,,0.0,
4,17,classical,236588153,28,0,7,1,0.0009975433349609375,"[11777, 20089]",OK,,,,0.0,
4,18,classical,236588153,28,0,8,1,0.0005419254302978516,"[11777, 20089]",OK,,,,0.0,
4,19,classical,236588153,28,0,9,1,0.0,"[11777, 20089]",OK,,,,0.0,
4,20,classical,236588153,28,0,10,1,0.001234292984008789,"[11777, 20089]",OK,,,,0.0,
4,21,classical,368548613,29,0,1,1,0.0,"[10303, 35771]",OK,,,,0.0,
4,22,classical,368548613,29,0,2,1,0.0,"[10303, 35771]",OK,,,,0.0,
4,23,classical,368548613,29,0,3,1,0.0010104179382324219,"[10303, 35771]",OK,,,,0.0,
4,24,classical,368548613,29,0,4,1,0.0009999275207519531,"[10303, 35771]",OK,,,,0.0,
4,25,classical,368548613,29,0,5,1,0.0009989738464355469,"[10303, 35771]",OK,,,,0.0,
4,26,classical,368548613,29,0,6,1,0.0,"[10303, 35771]",OK,,,,0.0,
4,27,classical,368548613,29,0,7,1,0.00099945068359375,"[10303, 35771]",OK,,,,0.0,
4,28,classical,368548613,29,0,8,1,0.0,"[10303, 35771]",OK,,,,0.0,
